RegionID,SizeRank,RegionName,RegionType,StateName,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30
394952,66,"Ventura, CA",Msa,CA,1965.0,1870.0,1742.0,1695.0,1616.0,1650.0,1802.0,2000.0,2209.0,2382.0,2532.0,2601.0,2625.0,2554.0,2383.0,2245.0,2116.0,2115.0,2222.0,2363.0,2524.0,2638.0,2678.0,2620.0,2513.0,2342.0,2107.0,1948.0,1840.0,1797.0,1831.0,1905.0,1973.0
394318,67,"Allentown, PA",Msa,PA,4706.0,4495.0,4239.0,4094.0,3820.0,3712.0,3836.0,4049.0,4328.0,4561.0,4683.0,4725.0,4726.0,4601.0,4357.0,4121.0,3844.0,3735.0,3835.0,3967.0,4149.0,4281.0,4326.0,4310.0,4256.0,4076.0,3800.0,3546.0,3269.0,3100.0,2877.0,2801.0,2879.0
394561,68,"El Paso, TX",Msa,TX,4651.0,4605.0,4586.0,4574.0,4573.0,4613.0,4614.0,4586.0,4503.0,4405.0,4310.0,4222.0,4175.0,4099.0,3987.0,3922.0,3835.0,3792.0,3823.0,3805.0,3869.0,3916.0,3943.0,3974.0,3952.0,3887.0,3804.0,3768.0,3770.0,3802.0,3822.0,3815.0,3704.0
394367,69,"Baton Rouge, LA",Msa,LA,4269.0,4223.0,4146.0,4158.0,4183.0,4326.0,4562.0,4810.0,5089.0,5279.0,5398.0,5394.0,5340.0,5238.0,5072.0,5015.0,4954.0,5014.0,5200.0,5341.0,5509.0,5607.0,5676.0,5685.0,5623.0,5488.0,5267.0,5150.0,5059.0,5076.0,5088.0,5094.0,5041.0
394521,70,"Dayton, OH",Msa,OH,3476.0,3324.0,3152.0,3043.0,2869.0,2830.0,2929.0,3077.0,3247.0,3381.0,3483.0,3571.0,3631.0,3584.0,3415.0,3181.0,2903.0,2761.0,2713.0,2743.0,2857.0,2923.0,2992.0,3020.0,2999.0,2898.0,2713.0,2552.0,2356.0,2277.0,2252.0,2232.0,2242.0
394843,71,"McAllen, TX",Msa,TX,2277.0,2224.0,2197.0,2201.0,2180.0,2223.0,2266.0,2298.0,2322.0,2308.0,2330.0,2340.0,2388.0,2423.0,2406.0,2462.0,2498.0,2555.0,2614.0,2611.0,2601.0,2587.0,2583.0,2567.0,2560.0,2533.0,2482.0,2471.0,2464.0,2475.0,2478.0,2457.0,2355.0
394486,72,"Columbia, SC",Msa,SC,5091.0,4985.0,4864.0,4765.0,4579.0,4551.0,4617.0,4699.0,4832.0,4859.0,4838.0,4727.0,4608.0,4445.0,4187.0,4076.0,3922.0,3872.0,3931.0,4017.0,4248.0,4483.0,4703.0,4797.0,4740.0,4548.0,4318.0,4221.0,4101.0,4105.0,4090.0,4025.0,3918.0
394648,73,"Greensboro, NC",Msa,NC,3309.0,3224.0,3103.0,3022.0,2916.0,2905.0,3019.0,3242.0,3366.0,3456.0,3350.0,3104.0,2948.0,2736.0,2595.0,2541.0,2448.0,2454.0,2536.0,2612.0,2728.0,2806.0,2869.0,2886.0,2868.0,2784.0,2632.0,2503.0,2381.0,2337.0,2337.0,2378.0,2392.0
394304,74,"Akron, OH",Msa,OH,3951.0,3790.0,3576.0,3441.0,3209.0,3146.0,3272.0,3469.0,3691.0,3845.0,3926.0,3910.0,3841.0,3672.0,3370.0,3087.0,2832.0,2729.0,2819.0,3042.0,3302.0,3510.0,3647.0,3672.0,3643.0,3516.0,3313.0,3076.0,2835.0,2727.0,2626.0,2608.0,2640.0
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,8491.0,8648.0,8694.0,9061.0,9582.0,10130.0,10642.0,10578.0,10281.0,9745.0,9164.0,8756.0,8630.0,8752.0,8960.0,9631.0,10187.0,10717.0,11075.0,10830.0,10501.0,9932.0,9427.0,9036.0,8786.0,8755.0,8776.0,9214.0,9619.0,9860.0,9906.0,9631.0,9156.0
